,Star,Dist,star_mass,star_radius,Gravity
241,178,2MASSW0J2206450 421721,93.0,0.021000936,57833919.26992737
242,179,2MASSW0J2208136+292121,154.0,0.025773876,63582592.24896836
243,180,2MASSW0J2224438 015852,38.0,0.058229868,3073752.989318123
244,181,2MASS0J22282889 4310262,35.0,0.040092696,5971927.147688354
245,182,2MASS0J22373255+3922398,64.0,0.069684924,3614758.530227727
246,183,2MASSW0J2244316+204343,56.0,0.011455056,117049772.09469171
247,184,2MASS0J23224684 3133231,56.0,0.022910112,29262443.023672927
248,185,2MASS0J23225299 6151275,148.0,0.016227996,154137712.7336919
249,186,2MASS0J23515044 2537367,67.0,0.084003744,2604081.0423959233
250,187,2MASSI0J2356547 155310,74.0,0.07636704,3480140.5453153877
251,225,WISE00410+1502,20.0,0.005727528,167213960.13527387
252,229,WISE00458+6434A,35.9,0.01431882,48023849.350850664
253,230,WISE00458+6434B,35.9,0.00954588,108053661.03941399
254,284,WISE01405+5534,25.3,0.02863764,2.0588858688522243e-06
